price,mileage,power,make_model,date,fuel,gear,offer_type
6990,7000,82.0,Ducati Monster 796,01/2011,Gasoline,Manual,Used
7490,5512,33.0,Yamaha X-Max 400,01/2020,Gasoline,Manual,Used
11250,38800,125.0,BMW R 1200 GS,04/2013,Gasoline,Manual,Used
10500,24000,125.0,Suzuki Intruder M,05/2007,Gasoline,Manual,Used
9200,12000,131.0,Kawasaki Ninja ZX-6R,03/2017,Gasoline,Manual,Used
15499,0,206.15759843345688,Suzuki V-Strom 1050,01/2021,Gasoline,Manual,New
299,10800,5.0,SYM GTS 300,03/2005,Gasoline,Manual,Used
13489,18381,140.0,Ducati 899 Panigale,11/2013,Gasoline,Manual,Used
8000,12000,95.0,Ducati Monster 1100,06/2011,Gasoline,Manual,Used
16390,2500,136.0,BMW R 1250 RS,03/2021,Gasoline,Manual,Demonstration
10795,47519,173.0,KTM 1290 Super Duke GT,02/2017,Gasoline,Manual,Used
19999,16222,206.15759843345688,Indian Chieftain,04/2018,Gasoline,Manual,Used
8000,90000,150.0,KTM 1190 Adventure,07/2014,Gasoline,Manual,Used
7100,3320,68.0,Kawasaki Ninja 650,06/2020,Gasoline,Manual,Used
6489,3835,54.0,Honda NC 750,06/2015,Gasoline,Manual,Used
7500,21000,60.0,BMW C 650 GT,01/2016,Gasoline,Manual,Used
6700,10200,125.0,Suzuki GSX-R 600,07/2011,Gasoline,Manual,Used
9999,6900,79.0,Arctic Cat 1000,08/2017,Gasoline,Automatic,Used
7698,0,206.15759843345688,Honda,01/2021,Gasoline,Automatic,New
10500,15984,67.0,Harley-Davidson Sportster 1200,04/2011,Gasoline,Manual,Used
16800,23758,79.0,Harley-Davidson Fat Boy,11/2014,Gasoline,Manual,Used
1250,44000,20.0,Yamaha X-City 250,09/2011,Gasoline,Manual,Used
11500,12000,67.0,Harley-Davidson,11/2014,Gasoline,Manual,Used
13875,14545,125.0,BMW R 1200 RT,04/2017,Gasoline,Manual,Used
15900,54000,45.0,BMW R 80,06/1985,Gasoline,Manual,Used
12000,14931,95.0,Victory High-Ball,11/2011,Gasoline,Manual,Used
1200,19000,4.0,Aprilia SR 50,07/2011,Two Stroke Gasoline,Automatic,Used
11195,1,64.0,Moto Guzzi V 7,01/2021,Gasoline,Manual,New
1300,14000,1.0,Kymco People S 200i,03/2011,Gasoline,Manual,Used
12500,26350,193.0,BMW S 1000 RR,03/2014,Gasoline,Manual,Used
9000,48037,95.0,Honda CRF 1000,02/2017,Gasoline,Manual,Used
11990,5200,206.15759843345688,Honda CB 1000,07/2018,Gasoline,Manual,Used
2490,42145,77.0,Honda CBF 600,03/2005,Others,Manual,Used
17400,850,152.0,Ducati Diavel,05/2020,Gasoline,Manual,Used
1890,45061,206.15759843345688,Yamaha MT-03,05/2009,Gasoline,Manual,Used
10995,7975,206.15759843345688,Yamaha XVS 1300,01/2016,Gasoline,Manual,Used
12000,1900,101.0,BMW F 850 GS,05/2020,Gasoline,Manual,Used
13000,15112,162.0,Ducati Diavel,05/2015,Gasoline,Manual,Used
1200,260,125.0,Lambretta,05/2014,Gasoline,Manual,Used
6950,16423,48.0,Honda CB 500,05/2019,Gasoline,Manual,Used
7390,23300,46.0,Moto Guzzi V 7,08/2018,Gasoline,Manual,Used
8000,27565,114.0,Yamaha Tracer 900,08/2016,Gasoline,Manual,Used
17900,1,19.0,Moto Guzzi,12/1957,Gasoline,Manual,Used
9500,2538,125.0,Kawasaki Z 900,07/2020,Gasoline,Manual,Used
10900,13879,58.0,Harley-Davidson,07/1960,Gasoline,Manual,Used
18800,3500,73.0,Harley-Davidson Rocker C,01/2011,Gasoline,Manual,Used
1800,1000,20.0,LML Star 150,05/2010,Gasoline,Manual,Used
10490,901,206.15759843345688,Yamaha SCR 950,01/2020,Gasoline,Manual,New
9798,0,206.15759843345688,Honda CB 650,01/2021,Gasoline,Manual,New
200,55000,15.0,Aprilia Scarabeo,07/2002,Gasoline,Manual,Used
6000,10400,41.0,Ducati Scrambler,06/2016,Gasoline,Manual,Used
18799,185,206.15759843345688,KTM 790 Adventure,12/2020,Gasoline,Manual,Used
9000,12000,67.0,Harley-Davidson Sportster Forty Eight,10/2012,Gasoline,Manual,Used
7000,24100,110.0,Ducati Hypermotard 821,05/2013,Gasoline,Manual,Used
900,11350,5.0,Kymco Dink 50,06/2011,Two Stroke Gasoline,Manual,Used
2499,990,8.0,Yamaha D'elight,03/2019,Gasoline,Automatic,Used
14990,150,206.15759843345688,Yamaha,01/2020,Gasoline,Manual,Used
12990,5000,206.15759843345688,Indian FTR 1200,06/2019,Gasoline,Manual,Used
9789,15239,140.0,Triumph Speed Triple 1050,03/2017,Gasoline,Manual,Used
10789,25109,137.0,Ducati Monster 1200,07/2015,Gasoline,Manual,Used
8200,31000,67.0,Harley-Davidson Sportster 1200,07/2009,Gasoline,Manual,Used
9000,410,86.0,Ducati Scrambler,10/2019,Gasoline,Manual,Used
20500,13336,206.15759843345688,BMW R 1250 GS Adventure,06/2020,Gasoline,Manual,Used
21490,5000,131.0,BMW R 1250 RT,03/2021,Gasoline,Manual,Demonstration
17990,19000,84.0,Harley-Davidson Road King,09/2015,Gasoline,Manual,Used
11950,4244,95.0,BMW F 800 GS,05/2018,Gasoline,Manual,Used
11489,45,107.0,Suzuki,12/2020,Gasoline,Manual,Used
2000,10500,11.0,Piaggio Liberty 125,01/2018,Gasoline,Manual,Used
57990,692,215.0,BMW HP4,03/2019,Gasoline,Manual,Used
10990,4530,206.15759843345688,Husqvarna,01/2020,Gasoline,Manual,Used
10000,24000,110.0,BMW R 1200 RT,03/2012,Gasoline,Manual,Used
16700,1950,102.0,Honda CRF 1100,11/2020,Gasoline,Automatic,Used
6200,5000,29.0,Yamaha X-Max 300,06/2019,Gasoline,Manual,Used
